X.OTU.ID	taxonomy
a4f785f6af116eab321ad4443f9d21e5	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Salinivenus;s__uncultured_bacterium
152f8762b4ba7c0b1c9379b1cb9903b3	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__Incertae_Sedis;s__uncultured_organism
25336561da843c63ab09d984a8770eaf	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans;s__Unclassified
759dcca9161e60715a71865fcf0ebad8	d__Bacteria;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
9ca4d57e364a83d8a88ec2d8c23d28c5	d__Bacteria;p__CK-2C2-2;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
9d93484401f212dc791d1fd4c881d157	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__Unclassified
bdd1de8ee31818a1f788572b1ce311da	d__Bacteria;p__Bacillota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__Unclassified
f375590e2672c04c510de965fef2c4ef	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__Incertae_Sedis;s__uncultured_bacterium
2bd1e4f574ee3f4b9d4a227ca27864b8	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Methanofastidiosales;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_Theionarchaea
6a72d9aece5e5ecfb608d5c631d6219b	d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
36f02f9178f019a2b2681e7eaf9e6469	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__uncultured_microorganism
2a33a3a37b2e98d2978b8ba51e9cf3c8	d__Bacteria;p__WS2;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
