Taxa and Samples	PR10B	PR11B	PR12B	PR13B	PR14B	PR15B	PR16B	PR17B	PR18B	PR19B	PR20B	PR21B	PR22B	PR23B	PR24B	PR25B	PR26B	PR27B	PR28B	PR29B	PR30B	PR31B	PR32B	PR33B	PR34B	PR35B	PR36B	PR5B	PR6B	PR7B	PR8B	PR9B
78764f26db62283a98af3cc2ea2c3cf6	3.59566683213242	8.06466085161803	7.13162142245076	0	0	2.42680311575584	3.99924881801891	0.937121276706016	1.8986003563894	9.18904841872705	8.63774834882484	5.79031084741596	5.81514585321189	0	0	4.67684922455845	0	2.0714892050426	3.16721253053115	2.2273844506802	4.45190655082162	2.41161370542445	1.42819255678071	0	0	1.18929306295964	2.58208114358027	0	0	0	0	3.37097252038041
e38e80a2cd191031fea32d11690bde68	3.81211972917529	0	0	2.41973742463121	4.01401615463782	6.82826291129203	4.9534208902158	2.79609415979314	3.81730216689365	1.9163599948943	0	0	2.66523528203697	0	0	0	0	4.92739537757162	3.67127582381802	3.33611008670184	0	4.92051652664241	5.67720121709857	6.97333170196618	6.75055928953375	8.05436778459127	8.10612372563396	0	0	0	0	5.0462607043966
e67736517c5c0381dcedb04e175e57d6	6.83512544025319	2.02358084303014	0	1.41865418465474	0	1.60530603618138	0	0	2.69086981860455	0	0	0	0	0	0	0	0	5.13890595438284	4.4213802100719	0	2.20794328728416	1.76569770290915	1.93300197719309	4.58236578706955	7.2566523127869	8.15716683701844	8.48920566384107	0	0	0	0	6.72072486230231
46dc9cfd88d809eba769332c9567fece	0	10.1034600342191	9.9816503762738	7.93649603922466	6.09001334271745	1.29807293332838	1.41453675475232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3183523350819	0	0	0	0	0	0
e32a56ef7d7b4a9d2cce39eef9340cba	0	7.52303700816503	7.77547739436892	0	0	0	0	0	0	0	7.34755129026391	6.06659215358324	5.50301322220117	0	0	0	0	5.88406201356596	7.32999083101502	6.71999672285592	7.8448977803941	5.2374825009652	3.61752854789943	3.41168022423618	4.64928029982707	3.11810359107021	3.40286065086378	0	0	0	0	0
e088be27b97d2af93fc03c85aa580f73	4.11335820351503	0	0	0	4.04137546052808	2.26105093351246	6.18243157910297	4.44688564499119	5.1669148819061	0	0	0	0	0	0	0	0	7.04801087047565	4.8314332898543	4.05293057780903	1.07990429851565	6.4733657391648	7.08652571163504	8.18801317993794	7.33104872184192	5.05413845206075	4.85464206586659	0	0	0	0	3.46118161283645
5d6e35f94b573af7dc2b2e0fc28b1d57	0	9.68147185365515	9.89044775485283	5.0056020044419	7.92042423368413	3.87917830215333	2.44413077425294	0	0	0	0	0	0	0	0	0	0	3.29407794480641	5.13115938543953	2.29262865918569	5.86704730453425	0	2.00230235352268	0	0	2.75741668792946	3.03258778038445	0	0	0	0	0
d9aea1a5b3df524e0cf3338f94b90db3	1.20453605223187	0	0	0	0	0	0	0	0	9.54035707269927	8.06144810107444	8.134895591931	7.33598330640557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc40537fe6e959852fac1a5103cec3e3	0	0	0	0	0	0	0	0.937121276706016	0	0	0	0	0	2.5076619441762	0	8.66126298751359	11.2329611569397	0	0	0	0	0	0.644961778022539	0	0	0	0.998271876366471	0	0	0	0	0.737735853149206
96abb950a21648848782565c77a2955a	0	8.490699740824	7.924378712459	0	0	0	0	0	0	9.83847816418858	5.97785955188895	7.48593456086977	6.24932151730898	0	0	0	4.33190266226017	3.51227877839962	4.9011091499495	4.03397640532836	5.66016323842562	0	0	0	0	0	0	0	0	0	0	0
dbe42f10fb4fa8e93c1287a3c5cbef4b	7.98553563173139	0	0	5.58057011825318	5.75200058080239	6.59560113571961	7.28460608196671	6.54512032546119	6.24857480441598	0	0	0	0	0	0	4.25340610879026	0	4.10569619662735	0.769256086320492	4.07163895554934	1.69054748042984	0	3.45399977848234	4.46729864545145	0.940824351542945	2.27537339584525	1.58265787556512	0	0	0	0	9.25222013621753
081916a6d4cc3a52ee8d4c99f7f81868	1.3954957087471	4.19955699643601	7.20592452044833	9.6946084590102	8.74303943915662	6.67602393514392	4.81798680986977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41624084828588
c1aa5a3894582060bec443912a4fe895	0	3.35017920536875	6.43895251406597	9.89907781532387	8.17012486608611	7.11916517363503	5.63986142416648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
